2026-03-25T19:09:08.720Z | GET /data | Status: 404
2026-03-25T19:11:58.229Z | GET /movies | Status: 200
2026-03-25T19:12:46.636Z | POST /movies | Status: 201
2026-03-25T19:13:34.574Z | PUT /movies/1 | Status: 200
2026-03-25T19:15:46.375Z | GET /movies/ | Status: 200
2026-03-25T19:16:11.209Z | POST /movies/ | Status: 400
2026-03-25T19:16:18.307Z | POST /movies/ | Status: 400
2026-03-25T19:16:29.990Z | POST /movies/ | Status: 400
2026-03-25T19:16:48.238Z | POST /movies/ | Status: 201
2026-03-25T19:17:32.775Z | GET /movies | Status: 200
2026-03-25T19:18:14.053Z | POST /movies | Status: 201
2026-03-25T19:18:59.109Z | POST /movies | Status: 400
2026-03-25T19:19:24.818Z | POST /movies | Status: 400
2026-03-25T19:20:26.429Z | PUT /movies/3 | Status: 200
2026-03-25T19:21:36.302Z | PUT /movies/3 | Status: 200
2026-03-25T19:21:50.361Z | GET /movies | Status: 200
2026-03-25T19:22:36.250Z | GET /movies/99 | Status: 404
2026-03-25T19:22:49.816Z | PUT /movies/99 | Status: 404
2026-03-25T19:23:35.542Z | DELETE /movies/3 | Status: 200
2026-03-25T19:23:44.877Z | GET /movies | Status: 200
2026-03-25T19:24:16.067Z | DELETE /movies/99 | Status: 404
